Bar@Regency,53.377485,-6.2467271
Kennedys,53.3671409,-6.2556947
The Cat and Cage,53.371214,-6.253369
The Ivy House,53.372458,-6.2523737
Bushes,53.3639558,-6.2717388
J.J. Smyth,53.3405863,-6.2654253
The Jar,53.3369586,-6.2657049
HQ,53.3443491,-6.2381779
Murray's Bar,53.3424449,-6.2968145
The Hut (Mohans),53.3609827,-6.2724939
McSorleys,53.3233007,-6.2500808
The Back Lounge,53.3443688,-6.2679333
Sin,53.3445794,-6.2658339
The Quays Bar,53.3456404,-6.2634165
The Globe,53.3433784,-6.2642836
Martin B. Slattery,53.3221522,-6.2659123
Mother Kelly's,53.3508694,-6.2529113
Corrigans,53.3275519,-6.2616703
Murphy's Lounge,53.3189936,-6.2646618
Jack Birchall's Ranelagh House,53.3233904,-6.2503391
The Dubliner,53.3321344,-6.2339528
The Black Horse Inn,53.3346403,-6.3276072
Peadar Browns,53.3362336,-6.2734533
The Secret Bar / The Bar With No Name,53.3418854,-6.2641559
Oil Can Harry's,53.338371,-6.243188
Farrells,53.2928679,-6.1351269
Kozie II,53.2899995,-6.1305927
The Purty Kitchen,53.2951939,-6.1481504
Hardys Bar,53.2919874,-6.1341504
Beer Traders,53.2946851,-6.1425241
The Eagle House,53.4022449,-6.1613376
Odeon,53.3333475,-6.262368
The Laurels,53.3079564,-6.3195456
The Pines,53.3073383,-6.3188972
Shearys,53.328038,-6.304945
The Lotts,53.3473641,-6.2633612
Hourican's,53.3357173,-6.2568022
The Source Bar,53.3420515,-6.2865388
Gravity Bar,53.3418813,-6.2868178
Delaney,53.3498707,-6.2788764
McGettigans,53.3472929,-6.2803355
Hynes,53.3542365,-6.2866899
The Capel,53.3492625,-6.2704646
O'Reilly Bros.,53.3456393,-6.2717761
Madigans Bar & Restaurant,53.3514108,-6.2497907
The Shamrock Lodge,53.3902864,-6.2997612
The Full Shilling,53.3898897,-6.2977657
The Tap,53.3502119,-6.2748187
Flannery's,53.3361055,-6.2651522
Lion Bar and Restaurant,53.2917336,-6.1350302
Jack O'Rourkes,53.3015367,-6.177795
The Breffini,53.3016547,-6.1776352
River Bar,53.3468848,-6.2584276
Martin's,53.390639,-6.2880196
Robert Reade,53.3503835,-6.2528682
McGowan's,53.356564,-6.273879
Phibsborough House (Clarke's),53.3588257,-6.2734242
The Glen of Aherlow,53.3407421,-6.3107255
La Cuv̩e,53.3496228,-6.2437451
Lagoona,53.3496181,-6.2430718
The Brew Dock,53.3501036,-6.2510898
The Twelfth Lock,53.3821395,-6.3672381
L Mulligan Grocer,53.3509857,-6.2822488
Tommy O'Gara,53.3510474,-6.2823722
The Glimmer Man,53.3508058,-6.2820166
The Palace,53.3359232,-6.265508
Cassidy's,53.3340323,-6.2650711
The Cusack Stand  (Devitts),53.3355702,-6.2653919
Against The Grain,53.3370675,-6.265418
Copper Face Jacks,53.335436,-6.2635091
Krystle,53.3360106,-6.2634085
The Bridge House,53.331802,-6.294492
ely,53.34921,-6.248099
Break for the Border,53.3410955,-6.2641191
The Exchequer,53.3431091,-6.2638694
Sinnott's,53.3400902,-6.2617022
P Macs,53.3412009,-6.2642908
McCauley's,53.3360993,-6.2978478
The Tram,53.3434972,-6.2905632
The Richmond,53.3503544,-6.2746953
Ryan's,53.3481981,-6.293471
Nancy Hand's,53.3482141,-6.293962
D-Two,53.3343859,-6.2629409
C Central,53.3343442,-6.2629034
J. O'Connell,53.3331138,-6.2647717
Rain,53.3306607,-6.2641189
Downey's,53.3304476,-6.2640813
Barbers,53.3611609,-6.2830916
The Donaghmede Inn,53.3521556,-6.279828
Galway Hooker (Carvery Bar),53.3951322,-6.1625014
Clonliffe House,53.3467462,-6.2924467
The Barn House,53.3612297,-6.2426649
Level 4 Nightclub,53.3322249,-6.2927681
Cleary's,53.3523358,-6.2495435
Pygmalion,53.342172,-6.2623045
P.J. Branagan's Pub,53.3125386,-6.2021347
Karma Stone Bar,53.3374409,-6.2659032
Ryan's Lounge,53.336328,-6.2655559
Bowery,53.3242854,-6.2651445
The Kingswood Lodge,53.3074073,-6.3672745
The House That Jack Built (Closed),53.3268541,-6.2775301
MVP,53.3304221,-6.275613
The Harold House,53.3300206,-6.2752027
The Cedar Lounge,53.3812315,-6.1649498
The Jug,53.3412468,-6.2746108
John Doyle,53.3609221,-6.2725085
